Source DataFile                                                 ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Cx    ,   TauQx , Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_raw,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
----------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\MURIS_202112131028_MaBe3728_445_caloxy_TC_data.csv , 2021/12/13, 10:30:57,    1639405857316,--Not Acquired--     ,--Not Acquired--     , -117.31,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     12.605,   157.551,    301.457,    143.906,  0.4774,  0.9134,    82.20,  0.1727,     0.000,    2.003,  0.000,     1392,  0.000,     3487,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.521,   628.82,   327.84,  0.000,       5.00,    0.000,    600.00,  309.68,   0.000,     0.0,     0.0,     0.0,     0.0,    1740,    1.5000,
C:\LIFT\DATA\MURIS_202112131028_MaBe3728_445_caloxy_TC_data.csv , 2021/12/13, 10:30:59,    1639405859402,--Not Acquired--     ,--Not Acquired--     , -117.25,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     84.614,   158.473,    286.670,    128.198,  0.4472,  0.8090,   102.20,  0.0000,     0.000,    2.331,  0.000,     1446,  0.000,     2800,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.615,   613.84,   377.77,  0.000,       5.00,    0.018,    600.00,  288.80,   0.000,     0.0,     0.0,     0.0,     0.0,    1201,    1.5000,
C:\LIFT\DATA\MURIS_202112131028_MaBe3728_445_caloxy_TC_data.csv , 2021/12/13, 10:34:00,    1639406040516,--Not Acquired--     ,--Not Acquired--     , -112.54,     0.0000,      0.0000,  NO DATA,    '10000,    40.00,    0.00,    0.00,    0.00,    0.00,    0.00,      2.181,   165.791,    321.919,    156.128,  0.4850,  0.9417,   100.85,  0.4789,     0.000,    3.138,  0.000,      640,  0.000,     1549,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.679,  1505.14,  1022.06,  0.299,      15.28,    0.010,    600.00,  328.41,   0.000,     0.0,     0.0,     0.0,     0.0,     494,    1.5000,
C:\LIFT\DATA\MURIS_202112131028_MaBe3728_445_caloxy_TC_data.csv , 2021/12/13, 10:34:02,    1639406042640,--Not Acquired--     ,--Not Acquired--     , -116.39,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     19.392,   149.675,    355.800,    206.125,  0.5793,  1.3771,    81.80,  0.1686,     0.000,    4.257,  0.000,      925,  0.000,     4183,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.513,  1059.97,   543.83,  0.000,       5.00,    0.000,    600.00,  396.48,   0.000,     0.0,     0.0,     0.0,     0.0,     982,    1.5000,
C:\LIFT\DATA\MURIS_202112131028_MaBe3728_445_caloxy_TC_data.csv , 2021/12/13, 10:37:03,    1639406223754,--Not Acquired--     ,--Not Acquired--     , -107.78,     0.0000,      0.0000,  NO DATA,    '10000,    80.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.374,   162.243,    306.694,    144.451,  0.4710,  0.8903,    87.38,  0.4598,     0.000,    3.158,  0.000,      632,  0.000,     1553,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.579,  1800.96,  1041.98,  0.355,      12.24,    0.022,    600.00,  270.45,   0.000,     0.0,     0.0,     0.0,     0.0,     492,    1.5000,
C:\LIFT\DATA\MURIS_202112131028_MaBe3728_445_caloxy_TC_data.csv , 2021/12/13, 10:37:06,    1639406225882,--Not Acquired--     ,--Not Acquired--     , -115.94,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     21.754,   143.537,    321.240,    177.703,  0.5532,  1.2380,    75.90,  0.1424,     0.000,    4.054,  0.000,      930,  0.000,     4335,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.473,  1091.86,   516.03,  0.000,       5.00,    0.000,    600.00,  365.43,   0.000,     0.0,     0.0,     0.0,     0.0,    1069,    1.5000,
C:\LIFT\DATA\MURIS_202112131028_MaBe3728_445_caloxy_TC_data.csv , 2021/12/13, 10:40:07,    1639406407017,--Not Acquired--     ,--Not Acquired--     ,  -99.41,     0.0000,      0.0000,  NO DATA,    '10000,   160.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.900,   160.361,    292.032,    131.671,  0.4509,  0.8211,    74.90,  0.3262,     0.000,    2.775,  0.000,      526,  0.000,     1309,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.474,  2400.29,  1138.66,  0.331,      19.32,    0.009,    600.00,  270.36,   0.000,     0.0,     0.0,     0.0,     0.0,     472,    1.5000,
C:\LIFT\DATA\MURIS_202112131028_MaBe3728_445_caloxy_TC_data.csv , 2021/12/13, 10:40:09,    1639406409163,--Not Acquired--     ,--Not Acquired--     , -115.61,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     44.946,   139.696,    287.593,    147.897,  0.5143,  1.0587,    75.53,  0.0955,     0.000,    4.014,  0.000,      973,  0.000,     4953,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.465,   992.55,   462.02,  0.000,       5.00,    0.000,    600.00,  354.23,   0.000,     0.0,     0.0,     0.0,     0.0,    1234,    1.5000,
C:\LIFT\DATA\MURIS_202112131028_MaBe3728_445_caloxy_TC_data.csv , 2021/12/13, 10:43:10,    1639406590243,--Not Acquired--     ,--Not Acquired--     , -117.12,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     75.946,   142.993,    278.020,    135.027,  0.4857,  0.9443,    81.72,  0.0000,     0.000,    1.377,  0.000,     1541,  0.000,     2063,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.492,   668.80,   329.14,  0.000,       5.00,    0.014,    600.00,  322.55,   0.000,     0.0,     0.0,     0.0,     0.0,    1498,    1.5000,
