Source DataFile                                                                                                                ,      DATE,     TIME,       Time__mSec,     PIF,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Cx    ,   TauQx , Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_RAT,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
-------------------------------------------------------------------------------------------------------------------------------,----------,---------,-----------------,--------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\MURIS_202106101330_MaBe3433_445_caloxy_data.csv                                                                   ,2021/06/10, 13:32:53,    1623342773151, -600.26,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      2.326,   290.510,    450.600,    160.090,  0.3553,  0.5511,    79.32,  0.4480,     0.000,    3.241,  0.000,      820,  0.000,     1291,  0.000,     5366, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.546,   870.70,   475.28,  0.285,      11.44,    0.000,    600.00,  221.87,   0.078,     0.0,     0.0,     0.0,     0.0,    1656,    1.9700,
C:\LIFT\DATA\MURIS_202106101330_MaBe3433_445_caloxy_data.csv                                                                   ,2021/06/10, 13:32:56,    1623342776009, -599.33,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.551,   305.330,    443.240,    137.910,  0.3111,  0.4517,    71.10,  0.3040,     0.000,    4.349,  0.000,      870,  0.000,     1441,  0.000,     6954, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.464,   962.08,   446.65,  0.356,       8.22,    0.000,    600.00,  186.71,   0.030,     0.0,     0.0,     0.0,     0.0,    1599,    2.0000,
C:\LIFT\DATA\MURIS_202106101330_MaBe3433_445_caloxy_data.csv                                                                   ,2021/06/10, 13:35:57,    1623342957625, -567.76,     0.0000,      0.0000,  NO DATA,    '10000,   160.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.311,   307.860,    421.310,    113.450,  0.2693,  0.3685,    84.83,  0.3960,     0.000,    7.052,  0.000,      677,  0.000,      972,  0.000,     7985, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.566,  1127.11,   637.81,  1.037,       5.63,    0.000,    600.00,  155.24,   0.000,     0.0,     0.0,     0.0,     0.0,    1132,    2.0000,
C:\LIFT\DATA\MURIS_202106101330_MaBe3433_445_caloxy_data.csv                                                                   ,2021/06/10, 13:36:00,    1623342960107, -597.30,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      2.031,   282.900,    414.980,    132.080,  0.3183,  0.4669,    79.62,  0.3990,     0.000,    3.627,  0.000,      827,  0.000,     1010,  0.000,     3124, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.530,  1184.75,   628.25,  0.343,       7.70,    0.000,    600.00,  203.30,   0.000,     0.0,     0.0,     0.0,     0.0,     861,    2.0000,
C:\LIFT\DATA\MURIS_202106101330_MaBe3433_445_caloxy_data.csv                                                                   ,2021/06/10, 13:39:01,    1623343141510, -534.83,     0.0000,      0.0000,  NO DATA,    '10000,   320.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.203,   310.710,    416.710,    106.000,  0.2544,  0.3412,    82.24,  0.3420,     0.000,   11.884,  0.000,      642,  0.000,      972,  0.000,    26663, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.545,   874.11,   476.79,  1.024,       5.92,    0.000,    600.00,  130.20,   0.000,     0.0,     0.0,     0.0,     0.0,    2244,    2.0000,
C:\LIFT\DATA\MURIS_202106101330_MaBe3433_445_caloxy_data.csv                                                                   ,2021/06/10, 13:39:04,    1623343144268, -598.34,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.550,   277.020,    401.790,    124.770,  0.3105,  0.4504,    78.00,  0.3850,     0.000,    3.428,  0.000,      846,  0.000,      933,  0.000,     3167, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.517,  1203.59,   622.12,  0.513,       5.12,    0.000,    600.00,  172.87,   0.000,     0.0,     0.0,     0.0,     0.0,     924,    2.0000,
C:\LIFT\DATA\MURIS_202106101330_MaBe3433_445_caloxy_data.csv                                                                   ,2021/06/10, 13:42:05,    1623343325687, -458.46,     0.0000,      0.0000,  NO DATA,    '10000,   640.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.184,   327.370,    415.390,     88.020,  0.2119,  0.2689,    83.29,  0.2660,     0.000,   13.216,  0.000,      637,  0.000,      670,  0.000,     4622, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.527,  1802.26,   949.29,  1.138,       5.01,    0.000,    600.00,   96.16,   0.000,     0.0,     0.0,     0.0,     0.0,     350,    2.0000,
C:\LIFT\DATA\MURIS_202106101330_MaBe3433_445_caloxy_data.csv                                                                   ,2021/06/10, 13:42:08,    1623343328434, -596.80,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.637,   273.750,    395.130,    121.380,  0.3072,  0.4434,    76.79,  0.3600,     0.000,    2.305,  0.000,      790,  0.000,      817,  0.000,     1653, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.501,  1418.39,   711.10,  0.401,       6.76,    0.000,    600.00,  160.56,   0.000,     0.0,     0.0,     0.0,     0.0,     717,    2.0000,
C:\LIFT\DATA\MURIS_202106101330_MaBe3433_445_caloxy_data.csv                                                                   ,2021/06/10, 13:45:10,    1623343509864, -598.48,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.396,   277.430,    430.320,    152.890,  0.3553,  0.5511,    78.64,  0.4500,     0.000,    3.446,  0.000,      949,  0.000,     1388,  0.000,     5142, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.544,   815.28,   443.11,  0.598,       5.83,    0.000,    600.00,  187.61,   0.084,     0.0,     0.0,     0.0,     0.0,    1492,    1.8870,
