Source DataFile                                                 ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Cx    ,   TauQx , Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_raw,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
----------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\MURIS_202112101404_MaBe3726_445_caloxy_TC_data.csv , 2021/12/10, 14:06:44,    1639159604535,--Not Acquired--     ,--Not Acquired--     , -114.10,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      3.025,    61.998,    100.079,     38.081,  0.3805,  0.6142,    81.78,  0.4519,     0.000,    3.188,  0.000,     1002,  0.000,     5407,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.570,   707.15,   403.29,  0.000,       5.00,    0.039,    600.00,  151.42,   0.000,     0.0,     0.0,     0.0,     0.0,    1696,    1.5000,
C:\LIFT\DATA\MURIS_202112101404_MaBe3726_445_caloxy_TC_data.csv , 2021/12/10, 14:06:46,    1639159606627,--Not Acquired--     ,--Not Acquired--     , -113.86,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      5.000,    64.304,     95.298,     30.994,  0.3252,  0.4820,    78.63,  0.1587,     0.000,    4.134,  0.000,      981,  0.000,     5837,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.494,   872.54,   430.74,  0.000,       5.00,    0.006,    600.00,  140.28,   0.000,     0.0,     0.0,     0.0,     0.0,    1412,    1.5000,
C:\LIFT\DATA\MURIS_202112101404_MaBe3726_445_caloxy_TC_data.csv , 2021/12/10, 14:09:47,    1639159787760,--Not Acquired--     ,--Not Acquired--     , -111.84,     0.0000,      0.0000,  NO DATA,    '10000,    40.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.443,    68.793,    122.240,     53.447,  0.4372,  0.7769,    86.64,  0.5300,     0.000,    3.507,  0.000,      598,  0.000,     1562,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.580,  2022.37,  1173.35,  0.317,      12.51,    0.044,    600.00,  206.44,   0.000,     0.0,     0.0,     0.0,     0.0,     445,    1.5000,
C:\LIFT\DATA\MURIS_202112101404_MaBe3726_445_caloxy_TC_data.csv , 2021/12/10, 14:09:50,    1639159789890,--Not Acquired--     ,--Not Acquired--     , -113.54,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      6.298,    63.588,    117.269,     53.681,  0.4578,  0.8442,    90.30,  0.4525,     0.000,    4.405,  0.000,      841,  0.000,     3207,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.612,  1169.49,   716.30,  0.000,       5.00,    0.027,    600.00,  233.96,   0.000,     0.0,     0.0,     0.0,     0.0,     728,    1.5000,
C:\LIFT\DATA\MURIS_202112101404_MaBe3726_445_caloxy_TC_data.csv , 2021/12/10, 14:12:51,    1639159970995,--Not Acquired--     ,--Not Acquired--     , -110.49,     0.0000,      0.0000,  NO DATA,    '10000,    80.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.613,    68.160,    118.645,     50.485,  0.4255,  0.7407,    86.97,  0.5149,     0.000,    3.093,  0.000,      576,  0.000,     1364,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.579,  2069.08,  1198.06,  0.255,      17.15,    0.034,    600.00,  226.07,   0.000,     0.0,     0.0,     0.0,     0.0,     441,    1.5000,
C:\LIFT\DATA\MURIS_202112101404_MaBe3726_445_caloxy_TC_data.csv , 2021/12/10, 14:12:53,    1639159973141,--Not Acquired--     ,--Not Acquired--     , -113.38,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      8.433,    62.233,    113.099,     50.866,  0.4498,  0.8174,    89.94,  0.4361,     0.000,    4.303,  0.000,      824,  0.000,     2925,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.605,  1234.48,   746.75,  0.000,       5.00,    0.020,    600.00,  279.38,   0.000,     0.0,     0.0,     0.0,     0.0,     680,    1.5000,
C:\LIFT\DATA\MURIS_202112101404_MaBe3726_445_caloxy_TC_data.csv , 2021/12/10, 14:15:54,    1639160154254,--Not Acquired--     ,--Not Acquired--     , -107.75,     0.0000,      0.0000,  NO DATA,    '10000,   160.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.253,    67.508,    115.555,     48.047,  0.4158,  0.7117,    79.28,  0.4692,     0.000,    2.791,  0.000,      548,  0.000,     1181,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.517,  2421.69,  1251.24,  0.318,      13.67,    0.034,    600.00,  186.45,   0.000,     0.0,     0.0,     0.0,     0.0,     423,    1.5000,
C:\LIFT\DATA\MURIS_202112101404_MaBe3726_445_caloxy_TC_data.csv , 2021/12/10, 14:15:56,    1639160156378,--Not Acquired--     ,--Not Acquired--     , -114.13,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      6.507,    60.475,    104.393,     43.918,  0.4207,  0.7262,    92.37,  0.4176,     0.000,    4.732,  0.000,      871,  0.000,     3848,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.623,  1052.52,   655.70,  0.000,       5.00,    0.011,    600.00,  215.48,   0.000,     0.0,     0.0,     0.0,     0.0,     813,    1.5000,
C:\LIFT\DATA\MURIS_202112101404_MaBe3726_445_caloxy_TC_data.csv , 2021/12/10, 14:18:57,    1639160337472,--Not Acquired--     ,--Not Acquired--     , -114.53,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      4.483,    62.026,    102.343,     40.316,  0.3939,  0.6500,    75.19,  0.3542,     0.000,    3.279,  0.000,      971,  0.000,     5166,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.502,   839.77,   421.42,  0.000,       5.00,    0.021,    600.00,  191.17,   0.000,     0.0,     0.0,     0.0,     0.0,    1576,    1.5000,
C:\LIFT\DATA\MURIS_202112101404_MaBe3726_445_caloxy_TC_data.csv , 2021/12/10, 14:18:59,    1639160339583,--Not Acquired--     ,--Not Acquired--     , -114.89,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      6.686,    64.260,     99.775,     35.514,  0.3559,  0.5527,    76.68,  0.1747,     0.000,    4.216,  0.000,      936,  0.000,     5098,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.482,  1002.86,   483.59,  0.000,       5.00,    0.015,    600.00,  181.36,   0.000,     0.0,     0.0,     0.0,     0.0,    1209,    1.5000,
