Source DataFile                                                   ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Cx    ,   TauQx , Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_raw,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\MURIS_202112101324_MaBe3726_445_caloxy_noTC_data.csv , 2021/12/10, 13:27:24,    1639157243881,--Not Acquired--     ,--Not Acquired--     , -112.80,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      3.633,    82.214,    133.387,     51.173,  0.3836,  0.6224,    64.14,  0.3506,     0.000,    3.145,  0.000,      945,  0.000,     5571,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.426,   931.97,   396.75,  0.000,       5.00,    0.012,    600.00,  169.78,   0.000,     0.0,     0.0,     0.0,     0.0,    1772,    1.5000,
C:\LIFT\DATA\MURIS_202112101324_MaBe3726_445_caloxy_noTC_data.csv , 2021/12/10, 13:27:26,    1639157245985,--Not Acquired--     ,--Not Acquired--     , -112.62,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      8.015,    85.480,    125.472,     39.992,  0.3187,  0.4679,    69.80,  0.1128,     0.000,    3.813,  0.000,      976,  0.000,     5745,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.432,   953.04,   411.95,  0.000,       5.00,    0.000,    600.00,  172.65,   0.000,     0.0,     0.0,     0.0,     0.0,    1507,    1.5000,
C:\LIFT\DATA\MURIS_202112101324_MaBe3726_445_caloxy_noTC_data.csv , 2021/12/10, 13:30:27,    1639157427100,--Not Acquired--     ,--Not Acquired--     , -110.57,     0.0000,      0.0000,  NO DATA,    '10000,    40.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.655,    90.443,    152.898,     62.455,  0.4085,  0.6905,    81.25,  0.5306,     0.000,    3.497,  0.000,      630,  0.000,     1608,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.543,  2073.69,  1126.36,  0.321,      10.51,    0.028,    600.00,  257.93,   0.000,     0.0,     0.0,     0.0,     0.0,     460,    1.5000,
C:\LIFT\DATA\MURIS_202112101324_MaBe3726_445_caloxy_noTC_data.csv , 2021/12/10, 13:30:29,    1639157429222,--Not Acquired--     ,--Not Acquired--     , -112.52,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     14.524,    84.002,    148.968,     64.965,  0.4361,  0.7734,    85.34,  0.4631,     0.000,    4.756,  0.000,      887,  0.000,     4159,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.583,  1091.83,   636.80,  0.000,       5.00,    0.018,    600.00,  357.93,   0.000,     0.0,     0.0,     0.0,     0.0,     874,    1.5000,
C:\LIFT\DATA\MURIS_202112101324_MaBe3726_445_caloxy_noTC_data.csv , 2021/12/10, 13:33:30,    1639157610311,--Not Acquired--     ,--Not Acquired--     , -109.04,     0.0000,      0.0000,  NO DATA,    '10000,    80.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.081,    90.455,    154.316,     63.861,  0.4138,  0.7060,    77.05,  0.4895,     0.000,    2.783,  0.000,      533,  0.000,     1242,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.503,  2498.53,  1257.89,  0.342,      14.69,    0.013,    600.00,  182.65,   0.000,     0.0,     0.0,     0.0,     0.0,     446,    1.5000,
C:\LIFT\DATA\MURIS_202112101324_MaBe3726_445_caloxy_noTC_data.csv , 2021/12/10, 13:33:32,    1639157612428,--Not Acquired--     ,--Not Acquired--     , -113.15,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     11.653,    82.927,    146.379,     63.452,  0.4335,  0.7652,    86.05,  0.4784,     0.000,    4.454,  0.000,      868,  0.000,     3634,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.590,  1138.61,   671.46,  0.000,       5.00,    0.019,    600.00,  313.72,   0.000,     0.0,     0.0,     0.0,     0.0,     816,    1.5000,
C:\LIFT\DATA\MURIS_202112101324_MaBe3726_445_caloxy_noTC_data.csv , 2021/12/10, 13:36:33,    1639157793510,--Not Acquired--     ,--Not Acquired--     , -104.16,     0.0000,      0.0000,  NO DATA,    '10000,   160.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.239,    90.340,    150.249,     59.909,  0.3987,  0.6631,    73.49,  0.4613,     0.000,    2.702,  0.000,      546,  0.000,     1189,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.476,  2600.51,  1238.10,  0.395,      12.14,    0.009,    600.00,  239.42,   0.000,     0.0,     0.0,     0.0,     0.0,     440,    1.5000,
C:\LIFT\DATA\MURIS_202112101324_MaBe3726_445_caloxy_noTC_data.csv , 2021/12/10, 13:36:35,    1639157795612,--Not Acquired--     ,--Not Acquired--     , -112.77,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     13.306,    80.882,    140.741,     59.859,  0.4253,  0.7401,    83.13,  0.4354,     0.000,    4.212,  0.000,      835,  0.000,     3294,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.559,  1243.42,   694.73,  0.000,       5.00,    0.012,    600.00,  326.03,   0.000,     0.0,     0.0,     0.0,     0.0,     782,    1.5000,
C:\LIFT\DATA\MURIS_202112101324_MaBe3726_445_caloxy_noTC_data.csv , 2021/12/10, 13:39:36,    1639157976682,--Not Acquired--     ,--Not Acquired--     , -113.15,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      4.077,    80.884,    132.534,     51.650,  0.3897,  0.6386,    64.03,  0.3493,     0.000,    3.198,  0.000,      974,  0.000,     5166,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.424,   984.34,   417.15,  0.000,       5.00,    0.008,    600.00,  190.59,   0.000,     0.0,     0.0,     0.0,     0.0,    1615,    1.5000,
