Source DataFile                                                   ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Cx    ,   TauQx , Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_raw,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\MURIS_202112131408_MaBe3725_590_caloxy_noTC_data.csv , 2021/12/13, 14:11:13,    1639419072956,--Not Acquired--     ,--Not Acquired--     , -317.24,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.266,  1521.259,   3297.066,   1775.807,  0.5386,  1.1673,   393.15,  0.3387,     0.000,    2.776,  0.000,      580,  0.000,     1894,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.700,   304.30,   821.70,  0.718,       5.00,    0.009,    600.00,   97.51,   0.000,     0.0,     0.0,     0.0,     0.0,     682,    1.5000,
C:\LIFT\DATA\MURIS_202112131408_MaBe3725_590_caloxy_noTC_data.csv , 2021/12/13, 14:11:15,    1639419075078,--Not Acquired--     ,--Not Acquired--     , -315.02,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      0.799,  1601.404,   2971.695,   1370.291,  0.4611,  0.8557,   478.62,  0.4257,     0.000,    5.427,  0.000,      835,  0.000,     2787,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    3.455,   223.43,   771.88,  0.386,       5.09,    0.018,    600.00,   77.99,   0.000,     0.0,     0.0,     0.0,     0.0,     513,    1.5000,
C:\LIFT\DATA\MURIS_202112131408_MaBe3725_590_caloxy_noTC_data.csv , 2021/12/13, 14:14:16,    1639419256174,--Not Acquired--     ,--Not Acquired--     , -239.91,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,   40.00,    0.00,      0.962,  1974.448,   3302.527,   1328.079,  0.4021,  0.6726,   368.86,  0.0000,     0.000,    4.850,  0.000,      745,  0.000,     2627,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.221,   350.03,   777.52,  0.259,       5.00,    0.016,    600.00,   65.95,   0.000,     0.0,     0.0,     0.0,     0.0,     542,    1.5000,
C:\LIFT\DATA\MURIS_202112131408_MaBe3725_590_caloxy_noTC_data.csv , 2021/12/13, 14:14:18,    1639419258301,--Not Acquired--     ,--Not Acquired--     , -315.50,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.023,  1591.452,   2756.368,   1164.916,  0.4226,  0.7320,   523.03,  0.4603,     0.000,    3.342,  0.000,      855,  0.000,     1649,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    3.856,   200.59,   773.43,  0.239,       5.00,    0.000,    600.00,   83.30,   0.000,     0.0,     0.0,     0.0,     0.0,     493,    1.5000,
C:\LIFT\DATA\MURIS_202112131408_MaBe3725_590_caloxy_noTC_data.csv , 2021/12/13, 14:17:19,    1639419439394,--Not Acquired--     ,--Not Acquired--     , -146.71,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,   80.00,    0.00,      0.787,  2152.145,   3389.574,   1237.430,  0.3651,  0.5750,   379.62,  0.0000,     0.000,    8.423,  0.000,      747,  0.000,     3369,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.286,   381.51,   872.17,  0.350,       5.00,    0.026,    600.00,   49.46,   0.000,     0.0,     0.0,     0.0,     0.0,     400,    1.5000,
C:\LIFT\DATA\MURIS_202112131408_MaBe3725_590_caloxy_noTC_data.csv , 2021/12/13, 14:17:21,    1639419441497,--Not Acquired--     ,--Not Acquired--     , -316.79,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      0.762,  1600.086,   2868.923,   1268.837,  0.4423,  0.7930,   480.98,  0.4165,     0.000,    4.491,  0.000,      869,  0.000,     1896,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    3.451,   233.56,   806.13,  0.183,       5.00,    0.014,    600.00,   67.95,   0.000,     0.0,     0.0,     0.0,     0.0,     422,    1.5000,
C:\LIFT\DATA\MURIS_202112131408_MaBe3725_590_caloxy_noTC_data.csv , 2021/12/13, 14:20:22,    1639419622605,--Not Acquired--     ,--Not Acquired--     ,   47.26,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,  160.00,    0.00,      1.048,  2299.255,   3198.952,    899.698,  0.2812,  0.3913,   386.38,  0.0000,     0.000,   16.009,  0.000,      869,  0.000,    23778,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.327,   182.62,   424.88,  0.046,       5.00,    0.017,    600.00,   35.21,   0.000,     0.0,     0.0,     0.0,     0.0,    1485,    1.5000,
C:\LIFT\DATA\MURIS_202112131408_MaBe3725_590_caloxy_noTC_data.csv , 2021/12/13, 14:20:24,    1639419624749,--Not Acquired--     ,--Not Acquired--     , -316.13,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.184,  1624.480,   2754.841,   1130.361,  0.4103,  0.6958,   522.76,  0.3769,     0.000,    6.351,  0.000,     1041,  0.000,     3881,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    3.709,   168.16,   623.63,  0.211,       5.00,    0.000,    600.00,   75.75,   0.000,     0.0,     0.0,     0.0,     0.0,     611,    1.5000,
C:\LIFT\DATA\MURIS_202112131408_MaBe3725_590_caloxy_noTC_data.csv , 2021/12/13, 14:23:26,    1639419805832,--Not Acquired--     ,--Not Acquired--     , -318.10,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.071,  1503.479,   3093.659,   1590.180,  0.5140,  1.0577,   411.58,  0.3505,     0.000,    2.236,  0.000,      516,  0.000,     1496,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.841,   308.60,   876.62,  0.835,       5.00,    0.005,    600.00,   86.53,   0.000,     0.0,     0.0,     0.0,     0.0,     669,    1.5000,
C:\LIFT\DATA\MURIS_202112131408_MaBe3725_590_caloxy_noTC_data.csv , 2021/12/13, 14:23:28,    1639419807964,--Not Acquired--     ,--Not Acquired--     , -315.40,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      0.772,  1531.771,   2713.603,   1181.832,  0.4355,  0.7715,   496.16,  0.3318,     0.000,    3.604,  0.000,      753,  0.000,     1947,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    3.419,   233.20,   797.42,  0.281,       5.00,    0.000,    600.00,   68.53,   0.000,     0.0,     0.0,     0.0,     0.0,     540,    1.5000,
