Source DataFile                                                 ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Cx    ,   TauQx , Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_raw,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
----------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\MURIS_202112131330_MaBe3725_590_caloxy_TC_data.csv , 2021/12/13, 13:33:06,    1639416785976,--Not Acquired--     ,--Not Acquired--     , -317.52,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.258,  1373.537,   2999.534,   1625.997,  0.5421,  1.1838,   468.74,  0.1273,     0.000,    2.952,  0.000,      644,  0.000,     1825,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.958,   271.01,   801.65,  0.415,       5.00,    0.006,    600.00,   96.63,   0.000,     0.0,     0.0,     0.0,     0.0,     618,    1.5000,
C:\LIFT\DATA\MURIS_202112131330_MaBe3725_590_caloxy_TC_data.csv , 2021/12/13, 13:33:08,    1639416788156,--Not Acquired--     ,--Not Acquired--     , -316.25,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      0.785,  1502.639,   2745.362,   1242.723,  0.4527,  0.8270,   601.49,  0.1220,     0.000,    3.102,  0.000,      606,  0.000,     1679,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    3.793,   232.24,   880.90,  0.621,       5.00,    0.001,    600.00,   63.47,   0.000,     0.0,     0.0,     0.0,     0.0,     541,    1.5000,
C:\LIFT\DATA\MURIS_202112131330_MaBe3725_590_caloxy_TC_data.csv , 2021/12/13, 13:36:09,    1639416969318,--Not Acquired--     ,--Not Acquired--     , -243.64,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,   40.00,    0.00,      1.138,  1930.493,   3041.041,   1110.548,  0.3652,  0.5753,   544.82,  0.0000,     0.000,    5.124,  0.000,      740,  0.000,     2124,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    3.281,   264.12,   866.58,  0.448,       6.14,    0.012,    600.00,   59.70,   0.000,     0.0,     0.0,     0.0,     0.0,     415,    1.5000,
C:\LIFT\DATA\MURIS_202112131330_MaBe3725_590_caloxy_TC_data.csv , 2021/12/13, 13:36:11,    1639416971492,--Not Acquired--     ,--Not Acquired--     , -315.48,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      0.955,  1512.962,   2636.779,   1123.817,  0.4262,  0.7428,   662.05,  0.2918,     0.000,    2.117,  0.000,      594,  0.000,     1137,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    4.494,   201.58,   905.79,  0.421,       5.00,    0.000,    600.00,   75.59,   0.000,     0.0,     0.0,     0.0,     0.0,     537,    1.5000,
C:\LIFT\DATA\MURIS_202112131330_MaBe3725_590_caloxy_TC_data.csv , 2021/12/13, 13:39:12,    1639417152664,--Not Acquired--     ,--Not Acquired--     , -160.24,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,   80.00,    0.00,      0.905,  2101.264,   2850.107,    748.843,  0.2627,  0.3564,   669.90,  0.0000,     0.000,   15.107,  0.000,      869,  0.000,     4343,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    4.034,   214.41,   864.97,  0.313,       5.00,    0.000,    600.00,   40.14,   0.000,     0.0,     0.0,     0.0,     0.0,     287,    1.5000,
C:\LIFT\DATA\MURIS_202112131330_MaBe3725_590_caloxy_TC_data.csv , 2021/12/13, 13:39:14,    1639417154787,--Not Acquired--     ,--Not Acquired--     , -316.02,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      0.920,  1509.290,   2665.814,   1156.524,  0.4338,  0.7663,   620.28,  0.1573,     0.000,    3.835,  0.000,      747,  0.000,     1696,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    3.970,   214.49,   851.50,  0.386,       5.00,    0.008,    600.00,   63.37,   0.000,     0.0,     0.0,     0.0,     0.0,     442,    1.5000,
C:\LIFT\DATA\MURIS_202112131330_MaBe3725_590_caloxy_TC_data.csv , 2021/12/13, 13:42:16,    1639417335929,--Not Acquired--     ,--Not Acquired--     ,   24.30,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,  160.00,    0.00,      1.821,  2336.433,   3036.726,    700.293,  0.2306,  0.2997,   400.42,  0.0000,     0.000,   26.586,  0.000,      687,  0.000,     5516,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.411,   463.91,  1118.66,  0.522,       5.00,    0.023,    600.00,   31.31,   0.000,     0.0,     0.0,     0.0,     0.0,     207,    1.5000,
C:\LIFT\DATA\MURIS_202112131330_MaBe3725_590_caloxy_TC_data.csv , 2021/12/13, 13:42:18,    1639417338088,--Not Acquired--     ,--Not Acquired--     , -316.11,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.281,  1498.501,   2624.054,   1125.553,  0.4289,  0.7511,   647.02,  0.1676,     0.000,    3.799,  0.000,      884,  0.000,     1943,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    4.167,   174.08,   725.41,  0.228,       5.00,    0.005,    600.00,   71.44,   0.000,     0.0,     0.0,     0.0,     0.0,     512,    1.5000,
C:\LIFT\DATA\MURIS_202112131330_MaBe3725_590_caloxy_TC_data.csv , 2021/12/13, 13:45:19,    1639417519212,--Not Acquired--     ,--Not Acquired--     , -313.08,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.167,  1352.184,   2723.360,   1371.176,  0.5035,  1.0140,   538.66,  0.1481,     0.000,    2.352,  0.000,      546,  0.000,     1462,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    3.433,   252.81,   867.99,  0.757,       5.00,    0.000,    600.00,   80.48,   0.000,     0.0,     0.0,     0.0,     0.0,     621,    1.5000,
