Source DataFile                                                   ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Cx    ,   TauQx , Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_raw,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\MURIS_202112101221_MaBe3727_590_caloxy_noTC_data.csv , 2021/12/10, 12:24:24,    1639153463990,--Not Acquired--     ,--Not Acquired--     , -604.76,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      2.472,   962.687,   1771.072,    808.384,  0.4564,  0.8397,   267.61,  0.4370,     0.000,    3.582,  0.000,      727,  0.000,     2601,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.907,   381.62,   727.85,  0.437,       6.13,    0.042,    600.00,  193.10,   0.000,     0.0,     0.0,     0.0,     0.0,     726,    1.5000,
C:\LIFT\DATA\MURIS_202112101221_MaBe3727_590_caloxy_noTC_data.csv , 2021/12/10, 12:24:26,    1639153466111,--Not Acquired--     ,--Not Acquired--     , -602.94,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.572,   996.028,   1543.823,    547.795,  0.3548,  0.5500,   298.21,  0.3335,     0.000,    3.433,  0.000,      801,  0.000,     2123,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.034,   360.25,   732.79,  0.251,       5.82,    0.008,    600.00,  162.66,   0.000,     0.0,     0.0,     0.0,     0.0,     618,    1.5000,
C:\LIFT\DATA\MURIS_202112101221_MaBe3727_590_caloxy_noTC_data.csv , 2021/12/10, 12:27:27,    1639153647226,--Not Acquired--     ,--Not Acquired--     , -556.29,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,   40.00,    0.00,      1.120,  1177.525,   1932.036,    754.512,  0.3905,  0.6408,   339.48,  0.2556,     0.000,    3.858,  0.000,      735,  0.000,     1592,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.242,   400.68,   898.36,  0.543,       5.00,    0.000,    600.00,  161.69,   0.000,     0.0,     0.0,     0.0,     0.0,     413,    1.5000,
C:\LIFT\DATA\MURIS_202112101221_MaBe3727_590_caloxy_noTC_data.csv , 2021/12/10, 12:27:29,    1639153649375,--Not Acquired--     ,--Not Acquired--     , -608.43,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.689,  1046.741,   1911.940,    865.200,  0.4525,  0.8266,   323.51,  0.3526,     0.000,    2.437,  0.000,      489,  0.000,     1133,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.201,   501.33,  1103.52,  0.413,      10.24,    0.011,    600.00,  191.53,   0.000,     0.0,     0.0,     0.0,     0.0,     465,    1.5000,
C:\LIFT\DATA\MURIS_202112101221_MaBe3727_590_caloxy_noTC_data.csv , 2021/12/10, 12:30:30,    1639153830555,--Not Acquired--     ,--Not Acquired--     , -494.76,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,   80.00,    0.00,      1.509,  1263.026,   2065.997,    802.971,  0.3887,  0.6358,   324.51,  0.1805,     0.000,    5.680,  0.000,      725,  0.000,     2229,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.076,   440.96,   915.52,  0.453,       5.00,    0.004,    600.00,  164.16,   0.000,     0.0,     0.0,     0.0,     0.0,     392,    1.5000,
C:\LIFT\DATA\MURIS_202112101221_MaBe3727_590_caloxy_noTC_data.csv , 2021/12/10, 12:30:32,    1639153832681,--Not Acquired--     ,--Not Acquired--     , -607.06,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.250,  1064.823,   1997.713,    932.890,  0.4670,  0.8761,   339.69,  0.3637,     0.000,    2.387,  0.000,      436,  0.000,     1036,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.318,   523.53,  1213.52,  0.472,      10.60,    0.012,    600.00,  177.44,   0.000,     0.0,     0.0,     0.0,     0.0,     434,    1.5000,
C:\LIFT\DATA\MURIS_202112101221_MaBe3727_590_caloxy_noTC_data.csv , 2021/12/10, 12:33:34,    1639154013863,--Not Acquired--     ,--Not Acquired--     , -369.05,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,  160.00,    0.00,      1.323,  1409.330,   2256.629,    847.299,  0.3755,  0.6012,   245.51,  0.0273,     0.000,    9.498,  0.000,      651,  0.000,     3652,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.490,   650.90,   969.80,  0.338,       5.00,    0.024,    600.00,  125.41,   0.000,     0.0,     0.0,     0.0,     0.0,     384,    1.5000,
C:\LIFT\DATA\MURIS_202112101221_MaBe3727_590_caloxy_noTC_data.csv , 2021/12/10, 12:33:36,    1639154016002,--Not Acquired--     ,--Not Acquired--     , -605.41,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.791,  1094.400,   2154.592,   1060.192,  0.4921,  0.9687,   300.43,  0.3679,     0.000,    2.952,  0.000,      480,  0.000,     1187,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.044,   588.53,  1203.14,  0.551,       7.56,    0.034,    600.00,  198.64,   0.000,     0.0,     0.0,     0.0,     0.0,     402,    1.5000,
C:\LIFT\DATA\MURIS_202112101221_MaBe3727_590_caloxy_noTC_data.csv , 2021/12/10, 12:36:37,    1639154197175,--Not Acquired--     ,--Not Acquired--     , -606.48,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.702,   953.759,   1848.045,    894.286,  0.4839,  0.9376,   255.69,  0.4307,     0.000,    3.484,  0.000,      643,  0.000,     2188,  0.000,     5000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.803,   463.99,   836.46,  0.615,       5.34,    0.045,    600.00,  168.76,   0.000,     0.0,     0.0,     0.0,     0.0,     628,    1.5000,
